OpnameDatum;StandNormaal;StandDal;TerugleveringNormaal;TerugleveringDal
2022-11-07;1985;2354;3539;1606
2022-11-06;1985;2346;3539;1604
2022-11-05;1985;2331;3539;1600
2022-11-04;1979;2329;3537;1600
2022-11-03;1973;2326;3536;1600
2022-11-02;1969;2324;3528;1600
2022-11-01;1965;2322;3520;1600
2022-10-31;1960;2319;3518;1600
2022-10-30;1960;2310;3518;1596
2022-10-29;1960;2301;3518;1592
2022-10-28;1956;2300;3514;1592
2022-10-27;1952;2298;3511;1592
2022-10-26;1947;2295;3504;1592
2022-10-25;1940;2292;3502;1592
2022-10-24;1935;2291;3499;1592
2022-10-23;1935;2286;3499;1590
2022-10-22;1935;2279;3499;1587
2022-10-21;1929;2277;3496;1587
2022-10-20;1927;2274;3495;1587
2022-10-19;1924;2272;3486;1587
2022-10-18;1918;2270;3480;1587
2022-10-17;1913;2267;3480;1587
2022-10-16;1913;2261;3480;1579
2022-10-15;1913;2255;3480;1578
2022-10-14;1906;2253;3480;1578
2022-10-13;1902;2250;3480;1578
2022-10-12;1900;2248;3474;1578
2022-10-11;1895;2246;3465;1578
2022-10-10;1889;2244;3461;1578
2022-10-09;1889;2235;3461;1569
2022-10-08;1889;2229;3461;1560
2022-10-07;1883;2227;3454;1560
2022-10-06;1878;2225;3446;1560
2022-10-05;1877;2223;3443;1560
2022-10-04;1873;2222;3432;1560
2022-10-03;1870;2220;3424;1560
2022-10-02;1870;2214;3424;1554
2022-10-01;1870;2208;3424;1548
2022-09-30;1867;2206;3415;1548
2022-09-29;1863;2203;3404;1548
2022-09-28;1862;2202;3396;1548
2022-09-27;1851;2200;3396;1548
2022-09-26;1847;2198;3395;1548
2022-09-25;1847;2194;3395;1538
2022-09-24;1847;2181;3395;1538
2022-09-23;1836;2179;3393;1538
2022-09-22;1835;2178;3382;1538
2022-09-21;1833;2176;3371;1538
2022-09-20;1832;2174;3365;1538
2022-09-19;1829;2173;3359;1538
2022-09-18;1829;2167;3359;1537
2022-09-17;1829;2165;3359;1528
2022-09-16;1827;2163;3350;1528
2022-09-15;1826;2162;3347;1528
2022-09-14;1824;2160;3345;1528
2022-09-13;1821;2158;3338;1528
2022-09-12;1819;2157;3327;1528
2022-09-11;1819;2153;3327;1520
2022-09-10;1819;2146;3327;1517
2022-09-09;1817;2144;3325;1517
2022-09-08;1815;2143;3318;1517
2022-09-07;1814;2141;3310;1517
2022-09-06;1812;2139;3297;1517
2022-09-01;1805;2126;3265;1495
2022-08-01;1776;2061;3040;1403
2022-07-01;1740;1995;2842;1287
2022-07-01;1740;1995;2842;1287
2022-06-01;1708;1932;2602;1209
2022-05-01;1677;1862;2387;1100
2022-04-01;1610;1784;2243;980
2022-03-01;1518;1682;2037;908
2022-02-01;1416;1591;1980;866
2022-01-01;1280;1471;1960;858
2022-01-01;1280;1471;1960;858
